video_id,question,answer,time,frames,Qtype
P03_09,What did he do with the tap?,I don't know,00:06:19.23-00:06:22.88,22753-22972,action
P02_04,What did he do with the wooden spoon?,I don't know,00:00:37.19-00:00:37.95,2231-2277,action
P02_01,What did he do with the drawer?,I don't know,00:03:44.79-00:03:45.75,13487-13545,action
P01_02,What all does he drink?,I don't know,00:05:34.16-00:05:42.76,20049-20565,noun
P01_02,Where did he put the container?,fridge,00:07:57.01-00:08:01.11,28620-28866,interaction2
P01_07,What did he put into the fridge?,I don't know,00:00:22.12-00:00:28.18,1327-1690,interaction1
P02_04,What did he do with the mesh?,I don't know,00:00:17.06-00:00:34.43,1023-2065,action
P02_04,What did he do with the glove?,I don't know,00:04:47.06-00:04:49.83,17223-17389,action
P02_01,What did he do with the sugar?,I don't know,00:01:21.54-00:01:22.72,4892-4963,action
P03_02,What did he do with the bin?,I don't know,00:03:56.52-00:03:57.25,14191-14235,action
P01_07,What did he do with the spoon?,I don't know,00:00:28.47-00:00:31.64,1708-1898,action
P01_02,What did he do with the fridge?,I don't know,00:07:10.47-00:07:20.76,25828-26445,action
P03_09,What all does he slice?,I don't know,00:04:32.11-00:04:43.23,16326-16993,noun
P03_09,What all does he fill?,I don't know,00:02:02.00-00:02:07.28,7320-7636,noun
P03_09,What did he do with the bread?,I don't know,00:09:39.94-00:09:51.47,34796-35488,action
P02_04,What did he do with the mug?,I don't know,00:05:42.47-00:05:43.10,20548-20586,action
P02_04,What all does he pick-up?,I don't know,00:03:34.08-00:03:35.14,12844-12908,noun
P01_06,What all does he empty?,I don't know,00:01:56.17-00:01:57.26,6970-7035,noun
P02_01,What all does he remove?,I don't know,00:01:42.80-00:01:46.13,6168-6367,noun
P03_02,What all does he throw?,I don't know,00:00:12.21-00:00:14.12,732-847,noun
P01_02,What did he do with the water?,I don't know,00:01:04.23-00:01:04.86,3853-3891,action
P03_09,What did he do with the knife?,I don't know,00:07:40.79-00:07:45.74,27647-27944,action
P03_09,What did he do with the sponge?,I don't know,00:01:19.85-00:01:20.47,4791-4828,action
P03_02,What all does he take?,I don't know,00:00:14.18-00:00:14.82,850-889,noun
P03_09,What all does he open-up?,I don't know,00:01:47.08-00:01:50.58,6424-6634,noun
P01_02,What all does he wash?,I don't know,00:04:22.51-00:04:30.91,15750-16254,noun
P01_07,What all does he put-in?,I don't know,00:01:03.95-00:01:04.79,3837-3887,noun
P02_01,What did he put on the side?,I don't know,00:00:43.84-00:00:45.41,2630-2724,interaction1
P02_04,What did he do with the broccoli?,I don't know,00:01:14.49-00:01:15.08,4469-4504,action
P01_06,What did he do with the tablecloth?,I don't know,00:04:14.20-00:04:28.66,15252-16119,action
P03_02,What all does he put-down?,I don't know,00:04:42.82-00:04:44.83,16969-17089,noun
P03_02,What all does he pour?,bottle,00:02:34.92-00:02:37.40,9295-9444,noun
P01_06,What did he do with the knife?,I don't know,00:02:03.33-00:02:04.65,7399-7479,action
P03_09,What all does he get?,I don't know,00:08:16.35-00:08:18.19,29781-29891,noun
P01_02,What did he do with the sponge?,I don't know,00:06:17.71-00:06:18.97,22662-22738,action
P03_02,What did he do with the bin?,I don't know,00:03:16.16-00:03:17.41,11769-11844,action
P03_02,What all does he squeeze?,I don't know,00:01:28.03-00:01:29.19,5281-5351,noun
P03_09,What all does he put-in?,I don't know,00:09:32.90-00:09:34.65,34374-34479,noun
P03_09,What did he do with the plug?,I don't know,00:00:42.59-00:00:43.14,2555-2588,action
P02_04,What did he do with the liquid?,I don't know,00:00:44.78-00:00:46.11,2686-2766,action
P01_06,What did he throw into the bin?,I don't know,00:04:28.76-00:04:30.01,16125-16200,interaction1
P01_06,What all does he turn-off?,I don't know,00:06:39.99-00:06:46.54,23999-24392,noun
P02_04,What did he do with the cupboard?,I don't know,00:05:32.26-00:05:33.71,19935-20022,action
P03_09,What all does he pour-up?,I don't know,00:06:10.78-00:06:11.53,22246-22291,noun
P01_06,What did he do with the leftover?,I don't know,00:06:31.19-00:06:33.19,23471-23591,action
P02_01,What did he do with the milk?,I don't know,00:02:07.78-00:02:08.77,7666-7726,action
P02_04,What did he do with the spoon?,I don't know,00:06:20.64-00:06:21.88,22838-22912,action
P01_02,What all does he wipe?,counter,00:06:47.61-00:06:53.07,24456-24784,noun
P01_04,What all does he fold?,I don't know,00:00:19.68-00:00:22.71,1180-1362,noun
P03_02,What all does he close?,I don't know,00:02:49.60-00:02:51.10,10176-10266,noun
P02_01,What did he put in the cup?,I don't know,00:00:55.04-00:00:57.39,3302-3443,interaction1
P02_01,What all does he close?,I don't know,00:02:11.07-00:02:12.06,7864-7923,noun
P02_04,What did he do with the broccoli?,I don't know,00:06:21.47-00:06:23.75,22888-23025,action
P03_09,What did he do with the washing machine?,I don't know,00:00:47.66-00:00:51.17,2859-3070,action
P01_06,What did he do with the tap?,I don't know,00:02:21.00-00:02:22.50,8460-8550,action
P03_09,What all does he put-up?,I don't know,00:00:56.29-00:00:57.07,3377-3424,noun
P01_04,What did he do with the sink?,I don't know,00:00:19.68-00:00:22.71,1180-1362,action
P01_02,What did he do with the spoon?,I don't know,00:02:53.74-00:02:55.49,10424-10529,action
P03_09,What all does he slice?,I don't know,00:00:29.35-00:00:30.60,1761-1836,noun
P01_06,What all does he put-down?,knife,00:00:02.21-00:00:03.28,132-196,noun
P02_04,What did he do with the sponge?,I don't know,00:02:51.81-00:02:53.31,10308-10398,action
P02_01,What did he do with the cup?,I don't know,00:02:53.65-00:02:54.39,10419-10463,action
P02_04,What all does he pick?,I don't know,00:01:18.74-00:01:20.56,4724-4833,noun
P02_04,What did he do with the pan?,I don't know,00:02:34.83-00:02:37.35,9289-9441,action
P01_06,What did he do with the leftover?,I don't know,00:01:56.17-00:01:57.26,6970-7035,action
P02_04,What did he do with the liquid?,I don't know,00:01:15.08-00:01:16.63,4504-4597,action
P01_06,What did he do with the fruit?,I don't know,00:01:15.11-00:01:20.95,4506-4857,action
P01_04,What all does he dry?,I don't know,00:00:30.75-00:00:35.04,1845-2102,noun
P02_04,What did he do with the glove?,I don't know,00:01:18.74-00:01:20.56,4724-4833,action
P01_02,What did he do with the chair?,I don't know,00:04:09.25-00:04:13.40,14955-15204,action
P03_09,What all does he wipe?,I don't know,00:06:23.73-00:06:25.53,23023-23131,noun
P03_02,What all does he empty?,I don't know,00:02:16.28-00:02:19.18,8176-8350,noun
P03_02,What did he do with the lid?,I don't know,00:05:52.27-00:05:57.51,21136-21450,action
P02_01,What did he do with the drawer?,I don't know,00:00:49.36-00:00:53.89,2961-3233,action
P02_04,What did he do with the strainer?,I don't know,00:04:57.60-00:04:58.29,17856-17897,action
P01_06,What all does he close?,I don't know,00:02:41.69-00:02:50.88,9701-10252,noun
P02_04,What all does he move?,I don't know,00:03:55.37-00:03:58.60,14122-14316,noun
P01_04,What all does he fold?,I don't know,00:00:18.91-00:00:20.16,1134-1209,noun
P03_09,What all does he shake?,I don't know,00:00:06.58-00:00:07.58,394-454,noun
P02_04,What all does he pick?,I don't know,00:01:28.75-00:01:40.00,5325-6000,noun
P02_01,What did he do with the drawer?,I don't know,00:01:32.00-00:01:33.33,5520-5599,action
P01_02,What all does he empty?,I don't know,00:00:26.26-00:00:27.30,1575-1638,noun
P02_04,What did he do with the pot?,I don't know,00:03:15.14-00:03:16.45,11708-11787,action
P03_02,What all does he take?,I don't know,00:02:53.56-00:02:55.18,10413-10510,noun
P03_02,What all does he clean?,I don't know,00:06:32.56-00:06:34.59,23553-23675,noun
P03_09,What all does he turn-off?,I don't know,00:00:12.42-00:00:14.48,745-868,noun
P03_09,What all does he clean?,I don't know,00:00:56.88-00:00:57.49,3412-3449,noun
P03_02,What all does he fill?,I don't know,00:01:46.56-00:01:47.17,6393-6430,noun
P01_06,What did he do with the bottle?,I don't know,00:01:04.46-00:01:09.25,3867-4155,action
P02_01,What all does he empty?,I don't know,00:02:32.79-00:02:33.76,9167-9225,noun
P01_02,What all does he empty?,I don't know,00:02:11.48-00:02:16.33,7888-8179,noun
P01_02,What all does he drink?,I don't know,00:00:21.01-00:00:22.56,1260-1353,noun
P01_02,What did he do with the sponge?,I don't know,00:03:22.42-00:03:30.66,12145-12639,action
P03_09,What all does he pour-up?,I don't know,00:00:23.56-00:00:25.30,1413-1518,noun
P03_09,What all does he shake?,I don't know,00:01:16.60-00:01:17.13,4596-4627,noun
P02_01,What did he do with the water filter?,I don't know,00:01:10.65-00:01:12.84,4239-4370,action
P01_03,What did he do with the drawer?,I don't know,00:00:03.25-00:00:05.88,195-352,action
P01_06,What all does he shake?,I don't know,00:06:33.29-00:06:39.89,23597-23993,noun
P03_02,What all does he pick-up?,I don't know,00:04:32.21-00:04:33.21,16332-16392,noun
P03_09,What did he do with the knife?,I don't know,00:01:02.98-00:01:04.20,3778-3852,action
P02_04,What all does he get?,I don't know,00:06:24.42-00:06:25.44,23065-23126,noun
P01_07,What did he do with the cup?,I don't know,00:00:59.45-00:01:00.43,3567-3625,action
P03_09,What did he do with the kitchen towel?,I don't know,00:01:38.45-00:01:39.07,5907-5944,action
P02_04,What did he do with the spoon?,I don't know,00:05:48.87-00:06:16.61,20932-22596,action
P03_02,What all does he shake?,I don't know,00:03:23.17-00:03:24.11,12190-12246,noun
P02_04,What all does he remove?,I don't know,00:04:14.53-00:04:15.72,15271-15343,noun
P03_09,What did he do with the cutlery?,I don't know,00:08:11.74-00:08:13.76,29504-29625,action
P02_04,What did he do with the liquid?,I don't know,00:06:50.90-00:06:57.72,24654-25063,action
P02_04,What did he do with the water filter?,I don't know,00:03:39.26-00:03:41.01,13155-13260,action
P01_02,What did he do with the tap?,I don't know,00:00:50.89-00:01:00.52,3053-3631,action
P01_02,What all does he dry?,I don't know,00:08:09.00-00:08:13.10,29340-29586,noun
P01_06,What did he do with the sink?,I don't know,00:07:23.29-00:07:25.15,26597-26709,action
P01_02,What did he do with the fridge?,I don't know,00:02:56.55-00:02:59.73,10593-10783,action
P01_02,What did he do with the drawer?,I don't know,00:04:13.77-00:04:21.44,15226-15686,action
P01_07,What did he do with the glass?,I don't know,00:00:49.52-00:00:55.95,2971-3357,action
P01_07,What did he do with the cereal box?,I don't know,00:01:52.36-00:01:57.39,6741-7043,action
P02_04,What all does he pick?,I don't know,00:02:45.88-00:02:48.15,9952-10089,noun
P03_09,What did he do with the sink?,I don't know,00:04:00.81-00:04:01.92,14448-14515,action
P01_02,What did he do with the liquid?,I don't know,00:02:34.71-00:02:37.06,9282-9423,action
P01_02,What all does he throw?,I don't know,00:03:50.37-00:03:51.17,13822-13870,noun
P02_01,What did he do with the cupboard?,I don't know,00:01:19.27-00:01:20.32,4756-4819,action
P02_01,What did he do with the coffee pot?,I don't know,00:02:37.43-00:02:38.41,9445-9504,action
P03_02,What all does he turn-on?,I don't know,00:00:46.36-00:00:47.15,2781-2829,noun
P01_02,What did he do with the plate?,I don't know,00:08:07.35-00:08:08.64,29241-29318,action
P01_02,What all does he empty?,I don't know,00:01:50.75-00:01:52.25,6645-6735,noun
P03_09,What all does he move?,I don't know,00:06:14.83-00:06:15.58,22489-22534,noun
P02_04,What did he do with the spoon?,I don't know,00:03:59.17-00:04:00.79,14350-14447,action
P01_06,What did he do with the colander?,I don't know,00:01:23.34-00:01:30.90,5000-5454,action
P02_04,What did he do with the sponge?,squeeze,00:02:35.24-00:02:36.58,9314-9394,action
P01_02,What did he do with the tap?,I don't know,00:08:13.20-00:08:14.20,29592-29652,action
P01_04,What all does he turn?,I don't know,00:00:19.68-00:00:22.71,1180-1362,noun
P03_09,What did he do with the fridge?,I don't know,00:08:36.53-00:08:41.98,30991-31318,action
P03_09,What did he do with the hob?,I don't know,00:05:00.34-00:05:05.57,18020-18334,action
P01_07,What did he do with the knife?,I don't know,00:00:16.60-00:00:19.37,996-1162,action
P01_02,What did he do with the cutting board?,I don't know,00:03:22.42-00:03:30.66,12145-12639,action
P03_02,What all does he test?,I don't know,00:00:03.29-00:00:04.26,197-255,noun
P01_02,What all does he pour?,I don't know,00:01:09.32-00:01:17.33,4159-4639,noun
P02_01,What all does he pick-up?,I don't know,00:02:53.65-00:02:54.39,10419-10463,noun
P01_02,What did he do with the tap?,I don't know,00:02:43.39-00:02:43.96,9803-9837,action
P01_02,What did he do with the cloth?,I don't know,00:07:07.73-00:07:10.71,25663-25842,action
P01_06,What did he do with the saucepan?,I don't know,00:01:47.51-00:01:48.43,6450-6505,action
P03_02,What did he do with the water?,I don't know,00:05:22.11-00:05:33.30,19326-19998,action
P03_02,What all does he put-in?,I don't know,00:05:37.39-00:05:39.11,20243-20346,noun
P03_09,What all does he put-up?,I don't know,00:04:32.11-00:04:43.23,16326-16993,noun
P03_09,What all does he put-up?,I don't know,00:03:19.60-00:03:20.28,11976-12016,noun
P02_01,Where did he put the spoon?,I don't know,00:00:06.16-00:00:07.59,369-455,interaction2
P03_09,What all does he put?,I don't know,00:06:19.23-00:06:22.88,22753-22972,noun
P01_02,What all does he throw?,I don't know,00:02:50.83-00:02:51.46,10249-10287,noun
P01_06,What did he do with the bin?,I don't know,00:04:12.59-00:04:14.10,15155-15246,action
P03_09,What did he do with the cheese?,I don't know,00:08:23.61-00:08:25.31,30216-30318,action
P03_09,What did he do with the excess butter?,I don't know,00:03:20.40-00:03:23.08,12024-12184,action
P01_02,What did he do with the saucepan?,I don't know,00:04:17.96-00:04:24.21,15477-15852,action
P03_09,What all does he clean?,I don't know,00:06:16.93-00:06:17.68,22615-22660,noun
P01_06,What did he do with the sink?,I don't know,00:06:50.64-00:06:52.20,24638-24732,action
P03_09,What all does he turn-on?,I don't know,00:00:58.71-00:01:02.42,3522-3745,noun
P01_06,What all does he move?,I don't know,00:05:41.98-00:05:43.47,20518-20608,noun
P02_04,What did he do with the knife?,I don't know,00:03:05.67-00:03:11.76,11140-11505,action
P01_02,What did he do with the liquid?,I don't know,00:07:07.73-00:07:10.71,25663-25842,action
P02_04,What did he do with the tupperware?,I don't know,00:03:45.49-00:03:46.38,13529-13582,action
P01_06,What all does he turn-on?,I don't know,00:05:34.88-00:05:38.91,20092-20334,noun
P01_07,What did he do with the saucepan?,I don't know,00:01:09.48-00:01:11.02,4168-4261,action
P03_09,What did he do with the liquid?,I don't know,00:08:11.41-00:08:13.69,29484-29621,action
P03_09,What did he do with the measuring cup?,I don't know,00:01:19.85-00:01:20.47,4791-4828,action
P03_09,What did he do with the hand?,I don't know,00:03:36.75-00:03:37.69,13005-13061,action
P02_01,What all does he open?,I don't know,00:01:21.54-00:01:22.72,4892-4963,noun
P01_06,What all does he dry?,I don't know,00:03:34.40-00:03:47.00,12864-13620,noun
P01_03,What did he do with the cup?,I don't know,00:01:11.27-00:01:12.11,4276-4326,action
P02_04,What did he do with the lid?,I don't know,00:04:38.64-00:04:39.52,16718-16771,action
P03_02,What did he do with the tap?,I don't know,00:01:12.69-00:01:16.19,4361-4571,action
P03_09,What did he do with the fridge?,I don't know,00:07:56.71-00:07:57.96,28602-28677,action
P01_06,What did he do with the cutting board?,I don't know,00:00:37.33-00:00:40.09,2239-2405,action
P01_06,What all does he open?,I don't know,00:02:33.57-00:02:39.67,9214-9580,noun
P01_04,What did he do with the bottle?,I don't know,00:01:02.30-00:01:02.99,3738-3779,action
P01_02,What all does he take?,I don't know,00:01:53.35-00:01:55.98,6801-6958,noun
P03_09,What all does he tip-out?,I don't know,00:04:58.60-00:04:59.52,17916-17971,noun
P01_02,What did he do with the eating board?,I don't know,00:01:56.69-00:02:03.94,7001-7436,action
P01_07,What did he do with the table cloth?,I don't know,00:02:01.92-00:02:02.71,7315-7362,action
P03_02,What did he do with the cleaning liquid?,I don't know,00:03:08.71-00:03:10.22,11322-11413,action
P02_01,What did he do with the filter?,I don't know,00:01:23.03-00:01:25.25,4981-5115,action
P01_06,What did he put onto the rack?,pan,00:04:28.76-00:04:30.01,16125-16200,interaction1
P02_04,What did he do with the wooden spoon?,I don't know,00:01:01.17-00:01:04.00,3670-3840,action
P01_02,What did he do with the container?,I don't know,00:04:17.96-00:04:24.21,15477-15852,action
P03_09,What did he do with the hand?,I don't know,00:02:32.49-00:02:36.88,9149-9412,action
P03_02,What did he do with the fridge?,I don't know,00:02:34.43-00:02:35.19,9265-9311,action
P01_02,What did he do with the sponge?,I don't know,00:04:55.47-00:04:56.22,17728-17773,action
P01_07,What did he do with the tong?,I don't know,00:01:03.95-00:01:04.79,3837-3887,action
P01_06,What all does he pour-up?,I don't know,00:05:47.07-00:06:00.01,20824-21600,noun
P01_03,What all does he extract?,I don't know,00:01:53.34-00:01:54.65,6800-6879,noun
P03_09,What all does he pour-up?,I don't know,00:00:55.16-00:00:56.21,3309-3372,noun
P01_07,What did he do with the pan?,I don't know,00:00:14.87-00:00:16.50,892-990,action
P01_06,What all does he move?,I don't know,00:05:45.07-00:05:52.28,20704-21136,noun
P03_02,What did he do with the sponge?,I don't know,00:00:03.29-00:00:04.26,197-255,action
P01_06,What all does he turn-off?,I don't know,00:00:02.21-00:00:03.28,132-196,noun
P03_02,What all does he turn-off?,I don't know,00:02:41.63-00:02:48.35,9697-10101,noun
P01_06,What all does he put?,I don't know,00:02:03.72-00:02:04.83,7423-7489,noun
P03_02,What all does he grab?,I don't know,00:02:55.83-00:02:56.68,10549-10600,noun
P01_02,What did he do with the leftover?,I don't know,00:01:16.18-00:01:21.23,4570-4873,action
P01_04,What all does he pour?,I don't know,00:01:25.37-00:01:26.12,5122-5167,noun
P03_09,What did he do with the food?,I don't know,00:08:25.40-00:08:25.90,30324-30354,action
P01_06,What all does he wash?,I don't know,00:08:00.88-00:08:05.89,28852-29153,noun
P01_06,What did he do with the cloth?,I don't know,00:01:34.90-00:01:47.44,5694-6446,action
P01_06,What all does he rinse?,I don't know,00:02:03.72-00:02:04.83,7423-7489,noun
P03_02,What did he do with the bin bag?,I don't know,00:06:17.73-00:06:18.46,22663-22707,action
P02_04,What did he do with the cutlery?,I don't know,00:03:00.42-00:03:01.30,10825-10878,action
P01_02,What did he do with the drawer?,I don't know,00:00:26.75-00:00:29.25,1605-1755,action
P02_04,What did he do with the mesh?,I don't know,00:01:41.31-00:01:43.90,6078-6234,action
P01_07,What did he do with the saucepan?,I don't know,00:01:29.11-00:01:30.37,5346-5422,action
P02_01,What did he do with the water filter?,I don't know,00:00:34.74-00:00:36.74,2084-2204,action
P01_06,What did he do with the plate?,I don't know,00:06:33.29-00:06:39.89,23597-23993,action
P01_03,What all does he open?,I don't know,00:00:19.68-00:00:22.53,1180-1351,noun
P03_02,What did he do with the lunch box?,I don't know,00:02:00.05-00:02:01.38,7203-7282,action
P01_06,What did he do with the hand?,I don't know,00:02:51.83-00:02:55.01,10309-10500,action
P03_09,What did he do with the bin?,I don't know,00:02:52.26-00:02:52.76,10335-10365,action
P02_04,What all does he pick?,I don't know,00:06:20.09-00:06:20.70,22805-22842,noun
P02_04,What did he do with the mesh?,I don't know,00:02:19.08-00:02:19.89,8344-8393,action
P02_04,What did he do with the jar?,I don't know,00:06:37.82-00:06:39.09,23869-23945,action
P03_09,What all does he test?,I don't know,00:04:55.34-00:04:56.48,17720-17788,noun
P03_02,What did he do with the bin bag?,I don't know,00:01:44.80-00:01:45.65,6288-6339,action
P02_04,What all does he pick?,I don't know,00:03:49.37-00:03:53.82,13762-14029,noun
P03_09,What all does he grab?,I don't know,00:02:30.67-00:02:31.33,9040-9079,noun
P01_06,What all does he move?,I don't know,00:02:02.19-00:02:03.29,7331-7397,noun
P01_07,What did he do with the cupboard?,I don't know,00:00:16.60-00:00:19.37,996-1162,action
P03_09,What did he do with the fork?,I don't know,00:10:18.82-00:10:21.21,37129-37272,action
P01_03,What did he do with the cup?,I don't know,00:01:35.01-00:01:37.28,5700-5836,action
P01_06,What all does he dry?,I don't know,00:06:47.09-00:06:48.44,24425-24506,noun
P02_01,What all does he pick?,I don't know,00:01:23.03-00:01:25.25,4981-5115,noun
P01_02,What did he do with the bin?,I don't know,00:02:51.54-00:02:53.54,10292-10412,action
P03_09,What did he do with the cutting board?,I don't know,00:04:13.29-00:04:15.29,15197-15317,action
P03_02,What all does he close?,I don't know,00:00:51.27-00:00:51.92,3076-3115,noun
P03_09,What all does he open-up?,I don't know,00:10:15.90-00:10:16.47,36954-36988,noun
P03_09,What did he do with the fridge?,I don't know,00:02:32.49-00:02:36.88,9149-9412,action
P03_09,What all does he spread?,I don't know,00:03:19.60-00:03:20.28,11976-12016,noun
P01_06,What all does he turn-on?,I don't know,00:07:28.75-00:07:49.25,26925-28155,noun
P02_04,What did he do with the cupboard?,I don't know,00:06:33.82-00:06:35.79,23629-23747,action
P01_02,What did he do with the water?,I don't know,00:00:42.69-00:00:49.44,2561-2966,action
