video_id,question_about_action,noun,answer,time,frames
P01_02,What did he do with the cloth,cloth,"take,put-down","00:07:25.95-00:07:27.33,00:07:31.18-00:07:33.43","26757-26839,27070-27205"
P01_02,What did he do with the colander,colander,"take,wash,put-down,take,put-down,take,rinse,rinse,put-down","00:01:22.10-00:01:22.92,00:01:22.91-00:01:28.34,00:01:28.08-00:01:29.72,00:01:49.17-00:01:51.29,00:01:50.75-00:01:52.25,00:03:20.43-00:03:22.26,00:03:22.42-00:03:30.66,00:03:28.16-00:03:36.92,00:03:37.48-00:03:38.43","4926-4975,4974-5300,5284-5383,6550-6677,6645-6735,12025-12135,12145-12639,12489-13015,13048-13105"
P01_02,What did he do with the container,container,"take,put","00:07:53.11-00:07:55.52,00:07:57.01-00:08:01.11","28386-28531,28620-28866"
P01_02,What did he do with the cooker,cooker,"wipe,wipe,wipe,wipe","00:06:23.35-00:06:27.09,00:06:27.09-00:06:33.36,00:06:33.46-00:06:47.45,00:06:44.28-00:06:47.51","23001-23225,23225-23601,23607-24447,24256-24450"
P01_02,What did he do with the counter,counter,"wipe,wipe,wipe,wipe,wipe","00:05:59.71-00:06:05.53,00:06:04.88-00:06:07.48,00:06:07.58-00:06:16.73,00:06:47.61-00:06:53.07,00:06:53.16-00:06:55.79","21582-21931,21892-22048,22054-22603,24456-24784,24789-24947"
P01_02,What did he do with the cutting board,board:cutting,"take,wash,wash,put-down,take,rinse,rinse,put-down","00:02:18.53-00:02:20.53,00:02:20.87-00:02:26.62,00:02:27.73-00:02:32.22,00:02:32.32-00:02:33.57,00:05:09.27-00:05:10.02,00:05:10.05-00:05:19.15,00:05:19.50-00:05:24.25,00:05:24.25-00:05:27.00","8311-8431,8452-8797,8863-9133,9139-9214,18556-18601,18603-19149,19170-19455,19455-19620"
P01_02,What did he do with the drawer,drawer,open,00:07:43.80-00:07:45.80,27828-27948
P01_02,What did he do with the eating board,board:eating,"take,put-down","00:07:35.38-00:07:42.13,00:07:45.83-00:07:47.33","27322-27727,27949-28039"
P01_02,What did he do with the fork,fork,"take,wash,take,rinse,put-down","00:00:34.64-00:00:35.70,00:00:35.49-00:00:41.24,00:04:55.47-00:04:56.22,00:04:56.32-00:04:59.60,00:04:59.67-00:05:00.45","2078-2142,2129-2474,17728-17773,17779-17976,17980-18027"
P01_02,What did he do with the fridge,fridge,"open,close","00:07:55.91-00:07:56.68,00:08:02.12-00:08:03.47","28554-28600,28927-29008"
P01_02,What did he do with the grater,grater,"take,wash,wash,put-down,rinse,rinse,put-down","00:02:33.75-00:02:34.79,00:02:34.71-00:02:37.06,00:02:35.68-00:02:43.60,00:02:44.84-00:02:46.74,00:03:01.48-00:03:08.71,00:03:08.81-00:03:19.08,00:03:19.58-00:03:20.50","9225-9287,9282-9423,9340-9816,9890-10004,10888-11322,11328-11944,11974-12030"
P01_02,What did he do with the hand,hand,"rinse,dry","00:02:55.36-00:02:56.45,00:07:26.90-00:07:30.90","10521-10587,26814-27054"
P01_02,What did he do with the knife,knife,"take,wash,put-down,take,rinse,put-down","00:00:41.75-00:00:42.63,00:00:42.69-00:00:49.44,00:00:49.51-00:00:50.02,00:04:50.08-00:04:51.44,00:04:51.32-00:04:55.41,00:04:55.49-00:04:56.98","2505-2557,2561-2966,2970-3001,17404-17486,17479-17724,17729-17818"
P01_02,What did he do with the leftover,leftover,"throw,throw","00:00:10.13-00:00:18.13,00:06:18.99-00:06:19.74","607-1087,22739-22784"
P01_02,What did he do with the lid,lid,"take,close","00:07:48.13-00:07:49.43,00:07:48.46-00:07:50.99","28087-28165,28107-28259"
P01_02,What did he do with the liquid,liquid,"take-up,pour-up","00:00:28.71-00:00:30.18,00:00:30.20-00:00:32.45","1722-1810,1812-1947"
P01_02,What did he do with the pan,pan,"empty,wash,wash,wash,put-down,empty,empty,rinse,wash,wash,rinse,wash,rinse,rinse,put-down","00:01:53.35-00:01:55.98,00:01:56.69-00:02:03.94,00:02:05.13-00:02:11.38,00:02:11.48-00:02:16.33,00:02:16.33-00:02:17.93,00:04:09.25-00:04:13.40,00:04:12.43-00:04:13.91,00:04:13.77-00:04:21.44,00:04:14.00-00:04:22.99,00:04:17.96-00:04:24.21,00:04:22.51-00:04:30.91,00:04:30.59-00:04:38.50,00:04:38.90-00:04:45.87,00:04:39.21-00:04:48.69,00:04:48.79-00:04:50.98","6801-6958,7001-7436,7507-7882,7888-8179,8179-8275,14955-15204,15145-15234,15226-15686,15240-15779,15477-15852,15750-16254,16235-16710,16734-17152,16752-17321,17327-17458"
P01_02,What did he do with the plate,plate,"take,put-down,take,wash,wash,put-down,take,rinse,rinse,put-down","00:00:05.07-00:00:06.84,00:00:21.01-00:00:22.56,00:00:50.32-00:00:51.14,00:00:50.89-00:01:00.52,00:01:00.45-00:01:03.42,00:01:03.16-00:01:04.13,00:05:00.52-00:05:01.27,00:05:01.47-00:05:05.47,00:05:05.57-00:05:08.25,00:05:09.10-00:05:11.17","304-410,1260-1353,3019-3068,3053-3631,3627-3805,3789-3847,18031-18076,18088-18328,18334-18495,18546-18670"
P01_02,What did he do with the rag,rag,"take,rinse,squeeze,squeeze,rinse,squeeze,squeeze,put-down","00:05:33.31-00:05:34.06,00:05:42.85-00:05:47.10,00:05:47.20-00:05:49.20,00:05:52.40-00:05:54.90,00:06:59.32-00:07:04.40,00:07:05.93-00:07:07.60,00:07:21.11-00:07:24.94,00:07:24.79-00:07:25.95","19998-20043,20571-20826,20832-20952,21144-21294,25159-25464,25555-25656,26466-26696,26687-26757"
P01_02,What did he do with the saucepan,saucepan,"take,wash,wash,wash,put-down,take,rinse,rinse,put-down","00:01:29.79-00:01:31.38,00:01:31.48-00:01:35.73,00:01:35.71-00:01:41.20,00:01:41.30-00:01:48.40,00:01:49.17-00:01:50.91,00:03:50.37-00:03:51.17,00:03:51.27-00:03:58.94,00:03:59.04-00:04:06.20,00:04:05.66-00:04:08.95","5387-5482,5488-5743,5742-6072,6078-6504,6550-6654,13822-13870,13876-14336,14342-14772,14739-14937"
P01_02,What did he do with the sink,sink,"wipe,wipe,wipe,wipe,wipe","00:05:48.80-00:05:52.30,00:05:49.04-00:05:59.01,00:06:53.49-00:06:57.91,00:07:07.73-00:07:10.71,00:07:10.47-00:07:20.76","20928-21138,20942-21540,24809-25074,25663-25842,25828-26445"
P01_02,What did he do with the spatula,spatula,"take,rinse,wash,wash,put-down,take,put-down","00:01:04.23-00:01:04.86,00:01:07.38-00:01:09.37,00:01:09.32-00:01:17.33,00:01:16.18-00:01:21.23,00:01:20.12-00:01:22.00,00:03:38.35-00:03:39.61,00:03:46.66-00:03:48.11","3853-3891,4042-4162,4159-4639,4570-4873,4807-4920,13101-13176,13599-13686"
P01_02,What did he do with the sponge,sponge,"take,squeeze,rinse,squeeze,put-down,take,put-down,take,squeeze,squeeze,squeeze","00:00:24.02-00:00:25.25,00:00:24.53-00:00:25.87,00:00:26.75-00:00:29.25,00:00:32.48-00:00:35.54,00:02:43.39-00:02:43.96,00:02:50.83-00:02:51.46,00:02:52.98-00:02:53.71,00:05:25.07-00:05:27.20,00:05:26.70-00:05:27.70,00:05:27.80-00:05:33.75,00:05:34.16-00:05:42.76","1441-1515,1471-1552,1605-1755,1948-2132,9803-9837,10249-10287,10378-10422,19504-19632,19602-19662,19668-20025,20049-20565"
P01_02,What did he do with the spoon,spoon,"take,wash,rinse","00:02:48.31-00:02:49.34,00:02:51.54-00:02:53.54,00:02:56.55-00:02:59.73","10098-10160,10292-10412,10593-10783"
P01_02,What did he do with the tap,tap,"open,open,open,open,close","00:00:26.26-00:00:27.30,00:01:06.61-00:01:07.63,00:02:53.74-00:02:55.49,00:06:57.65-00:06:59.53,00:07:04.49-00:07:05.83","1575-1638,3996-4057,10424-10529,25059-25171,25469-25549"
P01_02,What did he do with the top,top,adjust,00:04:16.74-00:04:18.28,15404-15496
P01_02,What did he do with the water,water,"pour,drink","00:08:09.00-00:08:13.10,00:08:13.80-00:08:19.25","29340-29586,29628-29955"
P01_03,What did he do with the bag,bag,"extract,unfold,put-down","00:01:37.61-00:01:38.71,00:01:40.11-00:01:42.44,00:01:53.34-00:01:54.65","5856-5922,6006-6146,6800-6879"
P01_03,What did he do with the bottle,bottle,move,00:00:30.48-00:00:33.39,1828-2003
P01_03,What did he do with the cereal,cereal,"take,put-down,pour,pour","00:01:25.24-00:01:27.39,00:01:32.35-00:01:35.01,00:01:43.84-00:01:48.85,00:01:47.66-00:01:52.70","5114-5243,5541-5700,6230-6531,6459-6762"
P01_03,What did he do with the cereal bag,bag:cereal,open,00:01:35.01-00:01:37.28,5700-5836
P01_03,What did he do with the container,container,"take,put-back,take,put-down","00:00:14.86-00:00:15.67,00:00:16.87-00:00:17.98,00:00:18.54-00:00:19.25,00:00:24.77-00:00:25.93","891-940,1012-1078,1112-1155,1486-1555"
P01_03,What did he do with the cup,cup,"take,put-down","00:00:48.03-00:00:49.25,00:00:50.75-00:00:51.60","2881-2955,3045-3096"
P01_03,What did he do with the cupboard,cupboard,"open,open,close","00:00:45.67-00:00:47.70,00:01:23.34-00:01:24.22,00:01:27.74-00:01:29.45","2740-2862,5000-5053,5264-5367"
P01_03,What did he do with the door,door,"open,close","00:00:00.27-00:00:02.11,00:00:03.25-00:00:05.88","16-126,195-352"
P01_03,What did he do with the drawer,drawer,"open,close","00:01:16.30-00:01:17.05,00:01:19.45-00:01:20.45","4578-4623,4767-4827"
