video_id,question_about_action,noun,answer,time
P01_01,What did he do with the cutting board,board:cutting,"take,put-down,put-down,take,put-down","00:00:43.20-00:00:46.64,00:00:46.45-00:00:47.81,00:05:46.01-00:05:47.67,00:11:59.03-00:12:00.04,00:12:02.45-00:12:03.55"
P01_01,What did he do with the door,door,"open,close","00:00:00.14-00:00:03.37,00:00:06.98-00:00:09.49"
P01_01,What did he do with the drainer,drainer,"take,put-on,put-down,wash","00:20:51.05-00:20:52.99,00:23:33.00-00:23:34.00,00:23:46.14-00:23:47.80,00:27:13.69-00:27:15.21"
P01_01,What did he do with the drawer,drawer,"open,open,close,open,close,open,take,put-down,open,open,close,open","00:00:24.97-00:00:26.20,00:00:51.66-00:00:53.00,00:00:56.10-00:00:56.60,00:04:25.06-00:04:26.44,00:04:28.57-00:04:29.24,00:08:28.16-00:08:29.94,00:08:29.29-00:08:31.54,00:08:32.66-00:08:34.43,00:08:36.81-00:08:38.05,00:12:33.09-00:12:34.49,00:16:47.68-00:16:49.46,00:17:26.31-00:17:28.40"
P01_01,What did he do with the fork,fork,"take,put-down","00:08:37.88-00:08:39.13,00:08:39.34-00:08:40.25"
P01_01,What did he do with the fridge,fridge,"open,close,open,close,open,close,open,close","00:00:12.77-00:00:13.99,00:00:21.91-00:00:23.33,00:00:23.18-00:00:24.29,00:00:29.22-00:00:31.32,00:06:00.21-00:06:01.84,00:06:03.07-00:06:04.15,00:09:06.39-00:09:07.42,00:09:09.28-00:09:10.03"
P01_01,What did he do with the glass,glass,"take,take,put,take,put-down,put-down,take,put-down","00:07:47.50-00:07:48.55,00:07:49.14-00:07:50.32,00:07:54.18-00:07:57.23,00:17:16.96-00:17:21.42,00:17:20.23-00:17:28.68,00:17:21.52-00:17:26.04,00:21:03.99-00:21:05.35,00:21:16.12-00:21:17.61"
P01_01,What did he do with the grater,grater,"take,take,take,drop,put-down,take,put-down","00:01:32.53-00:01:34.09,00:09:21.12-00:09:22.32,00:09:21.12-00:09:22.52,00:09:29.18-00:09:31.02,00:10:39.51-00:10:40.27,00:10:44.49-00:10:45.33,00:10:49.68-00:10:50.77"
P01_01,What did he do with the hob,hob,"turn-on,turn,adjust,turn-off,turn-off","00:02:02.13-00:02:06.98,00:11:15.00-00:11:16.99,00:12:51.40-00:12:52.66,00:22:49.72-00:22:53.80,00:25:04.53-00:25:07.43"
P01_01,What did he do with the kettle,kettle,"take,turn,take,put-down","00:07:06.95-00:07:09.35,00:07:25.11-00:07:27.13,00:11:19.51-00:11:22.29,00:11:39.07-00:11:41.91"
P01_01,What did he do with the knife,knife,"take,take,put-down,put-down,take,put-down,take","00:00:53.50-00:00:56.00,00:00:53.55-00:00:54.36,00:00:54.73-00:00:55.74,00:00:57.45-00:00:58.70,00:06:30.95-00:06:32.13,00:07:04.69-00:07:06.42,00:14:29.59-00:14:31.03"
P01_01,What did he do with the lid,lid,close,00:08:15.80-00:08:16.99
P01_01,What did he do with the light,light,turn-on,00:00:04.37-00:00:06.17
P01_01,What did he do with the oil,oil,"pour,close,put-down","00:11:47.88-00:11:53.08,00:11:53.14-00:11:56.39,00:11:56.49-00:11:57.82"
P01_01,What did he do with the olive oil,oil:olive,take,00:11:43.86-00:11:45.41
P01_01,What did he do with the onion,onion,"take,take,put-down,cut,cut,cut,pour","00:06:21.53-00:06:24.85,00:06:24.01-00:06:24.76,00:06:24.86-00:06:25.58,00:06:32.59-00:06:38.75,00:06:35.40-00:06:47.03,00:06:48.39-00:07:02.18,00:12:00.45-00:12:02.38"
P01_01,What did he do with the pan,pan,"take,put-down,put-down,wash","00:01:35.28-00:01:39.56,00:01:40.74-00:01:42.26,00:27:00.99-00:27:03.13,00:27:07.07-00:27:09.70"
P01_01,What did he do with the plate,plate,"take,put,take,put-down,take,put-down","00:08:22.35-00:08:23.31,00:08:24.66-00:08:27.92,00:26:15.37-00:26:17.29,00:26:17.78-00:26:19.15,00:27:17.63-00:27:19.73,00:27:20.40-00:27:21.69"
P01_01,What did he do with the rice,rice,"take,open,put-down,take,pour,pour,put,stir,stir,stir,scoop,taste,stir,scoop,taste,drain,pour,scoop,stir,stir,stir,stir,stir,stir,stir,pour,pour,scoop,pour,scoop,pour,scoop,scoop,pour,scoop","00:13:46.91-00:13:48.61,00:13:49.23-00:13:55.31,00:13:59.14-00:14:00.44,00:15:28.62-00:15:29.95,00:15:31.78-00:15:37.61,00:15:38.46-00:15:42.95,00:15:55.05-00:15:56.87,00:17:05.41-00:17:12.73,00:18:07.48-00:18:12.33,00:19:32.15-00:19:38.40,00:20:27.73-00:20:30.68,00:20:31.57-00:20:36.04,00:21:46.28-00:21:52.18,00:22:35.25-00:22:39.79,00:22:39.78-00:22:45.40,00:23:21.98-00:23:28.80,00:23:29.67-00:23:33.10,00:23:34.71-00:23:44.23,00:24:04.87-00:24:17.00,00:24:15.34-00:24:22.60,00:24:22.70-00:24:29.94,00:24:30.04-00:25:05.28,00:25:08.06-00:25:18.08,00:25:18.18-00:25:26.20,00:25:24.00-00:25:48.50,00:25:57.62-00:26:02.98,00:26:00.82-00:26:13.78,00:26:02.53-00:26:04.28,00:26:04.38-00:26:06.13,00:26:06.48-00:26:08.48,00:26:20.10-00:26:32.56,00:26:33.88-00:26:39.85,00:26:40.67-00:26:46.04,00:26:46.11-00:26:58.12,00:26:46.24-00:26:58.73"
P01_01,What did he do with the rice bag,bag:rice,"fold,close","00:15:45.45-00:15:51.60,00:15:51.70-00:15:53.04"
P01_01,What did he do with the salt,salt,"take,open,pour,put-down,take,open,put-down,pour,pour,close,put-down","00:04:39.60-00:04:41.35,00:04:41.45-00:04:42.93,00:04:42.80-00:04:45.05,00:04:45.15-00:04:46.79,00:12:30.39-00:12:31.52,00:12:31.62-00:12:33.15,00:12:32.75-00:12:34.00,00:12:37.80-00:12:41.59,00:12:42.15-00:12:43.65,00:12:44.91-00:12:45.76,00:12:47.50-00:12:49.40"
P01_01,What did he do with the saucepan,saucepan,"take,put-down,take,drain,put-down,wash","00:11:03.55-00:11:05.30,00:11:07.31-00:11:14.16,00:23:12.79-00:23:15.13,00:23:16.56-00:23:21.29,00:23:44.20-00:23:45.98,00:27:10.12-00:27:13.57"
P01_01,What did he do with the spatula,spatula,"take,put-down,take,stir,put-down,take,take,take,take,take,take,take,put-down,take,put-down,put-down,take,take,take,put-down,take,put-down,take,put-down,put-down,take,put-down,take,put-down,take,put-down,put-down,take,put-down,take,put-down,take,put-down,take,put-down","00:04:30.43-00:04:32.16,00:04:54.35-00:04:55.60,00:06:07.34-00:06:08.34,00:06:08.37-00:06:18.03,00:06:17.83-00:06:19.31,00:06:30.52-00:06:31.28,00:07:30.08-00:07:30.80,00:08:41.19-00:08:42.08,00:09:13.41-00:09:14.49,00:10:54.75-00:10:55.75,00:11:57.92-00:11:58.80,00:12:49.54-00:12:50.27,00:13:39.54-00:13:40.87,00:14:00.71-00:14:01.64,00:14:24.26-00:14:25.31,00:15:04.17-00:15:05.18,00:15:21.64-00:15:22.39,00:15:59.49-00:16:00.51,00:16:49.94-00:16:50.89,00:17:13.60-00:17:14.56,00:17:31.67-00:17:32.77,00:17:46.54-00:17:47.60,00:18:06.44-00:18:07.95,00:18:51.93-00:18:53.76,00:19:38.58-00:19:40.53,00:20:14.16-00:20:15.40,00:20:15.19-00:20:25.84,00:21:20.72-00:21:21.54,00:21:35.96-00:21:36.98,00:21:44.50-00:21:45.45,00:21:51.47-00:21:54.03,00:23:48.37-00:23:49.19,00:23:49.49-00:23:50.24,00:23:56.35-00:23:57.03,00:24:03.85-00:24:04.93,00:25:48.75-00:25:49.85,00:25:56.82-00:25:58.67,00:26:14.19-00:26:15.30,00:26:19.22-00:26:20.16,00:26:58.16-00:27:00.51"
P01_01,What did he do with the spoon,spoon,"take,put-down,take,take,put-down,take,put-down","00:12:34.95-00:12:36.70,00:12:46.10-00:12:46.78,00:17:15.04-00:17:17.63,00:20:25.60-00:20:26.60,00:20:36.14-00:20:38.93,00:22:33.66-00:22:35.47,00:22:46.01-00:22:49.61"
P01_01,What did he do with the tap,tap,"open,close,open,close,open,close,open,close","00:00:59.05-00:01:02.30,00:01:22.19-00:01:23.19,00:05:01.30-00:05:03.46,00:05:15.03-00:05:15.94,00:07:09.74-00:07:13.81,00:07:21.50-00:07:22.25,00:27:05.28-00:27:06.96,00:27:14.97-00:27:16.13"
P01_01,What did he do with the tofu,tofu,"take,take,cut,pour","00:00:18.19-00:00:21.14,00:14:26.00-00:14:27.27,00:14:30.88-00:14:35.11,00:14:45.93-00:14:49.17"
P01_01,What did he do with the tofu container,container:tofu,"open,put-down,take,throw,throw","00:14:35.48-00:14:45.08,00:14:49.53-00:14:50.92,00:15:05.28-00:15:08.19,00:15:09.33-00:15:11.48,00:15:11.43-00:15:13.59"
P01_01,What did he do with the top,top,"open,close","00:16:11.25-00:16:11.96,00:16:23.64-00:16:25.68"
P01_01,What did he do with the tupperware container,container:tupperware,throw,00:15:17.61-00:15:18.43
P01_01,What did he do with the vegetable,vegetable,"put-down,put-down,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,stir,adjust,stir,stir,stir,stir,stir,stir,stir,stir,stir","00:00:36.68-00:00:37.78,00:01:25.49-00:01:26.49,00:07:30.55-00:07:38.30,00:07:35.57-00:07:44.74,00:08:41.92-00:08:48.56,00:09:14.66-00:09:18.50,00:10:55.73-00:11:00.95,00:12:03.70-00:12:11.48,00:12:10.37-00:12:30.08,00:12:50.26-00:12:51.32,00:12:54.72-00:13:28.26,00:12:55.67-00:13:01.63,00:13:09.33-00:13:39.66,00:14:01.74-00:14:07.27,00:14:07.37-00:14:24.11,00:14:50.88-00:15:04.28,00:15:21.66-00:15:28.69,00:15:59.28-00:16:09.59,00:16:50.90-00:16:58.04,00:16:58.21-00:17:00.21,00:17:00.56-00:17:05.06,00:17:31.88-00:17:47.42,00:18:14.25-00:18:23.39,00:18:19.02-00:18:51.26,00:19:23.09-00:19:31.98,00:20:15.33-00:20:25.72,00:21:21.73-00:21:32.70,00:21:29.56-00:21:36.27,00:23:50.72-00:23:56.34"
P01_01,What did he do with the water,water,"pour,pour,pour,stir,pour,pour,drink","00:07:09.91-00:07:17.77,00:07:17.00-00:07:23.16,00:11:23.41-00:11:37.36,00:12:42.73-00:12:44.37,00:16:13.41-00:16:24.80,00:21:05.00-00:21:10.37,00:21:10.93-00:21:16.66"
P01_02,What did he do with the bin,bin,"open,close,open,close","00:00:08.61-00:00:09.28,00:00:18.38-00:00:19.13,00:06:17.71-00:06:18.97,00:06:19.80-00:06:21.96"
P01_02,What did he do with the bottle,bottle,"take,put-down,close","00:08:07.35-00:08:08.64,00:08:13.20-00:08:14.20,00:08:14.65-00:08:17.15"
P01_02,What did he do with the chair,chair,move,00:07:33.77-00:07:35.28
P01_02,What did he do with the cloth,cloth,"take,put-down","00:07:25.95-00:07:27.33,00:07:31.18-00:07:33.43"
P01_02,What did he do with the colander,colander,"take,wash,put-down,take,put-down,take,rinse,rinse,put-down","00:01:22.10-00:01:22.92,00:01:22.91-00:01:28.34,00:01:28.08-00:01:29.72,00:01:49.17-00:01:51.29,00:01:50.75-00:01:52.25,00:03:20.43-00:03:22.26,00:03:22.42-00:03:30.66,00:03:28.16-00:03:36.92,00:03:37.48-00:03:38.43"
P01_02,What did he do with the container,container,"take,put","00:07:53.11-00:07:55.52,00:07:57.01-00:08:01.11"
P01_02,What did he do with the cooker,cooker,"wipe,wipe,wipe,wipe","00:06:23.35-00:06:27.09,00:06:27.09-00:06:33.36,00:06:33.46-00:06:47.45,00:06:44.28-00:06:47.51"
P01_02,What did he do with the counter,counter,"wipe,wipe,wipe,wipe,wipe","00:05:59.71-00:06:05.53,00:06:04.88-00:06:07.48,00:06:07.58-00:06:16.73,00:06:47.61-00:06:53.07,00:06:53.16-00:06:55.79"
P01_02,What did he do with the cutting board,board:cutting,"take,wash,wash,put-down,take,rinse,rinse,put-down","00:02:18.53-00:02:20.53,00:02:20.87-00:02:26.62,00:02:27.73-00:02:32.22,00:02:32.32-00:02:33.57,00:05:09.27-00:05:10.02,00:05:10.05-00:05:19.15,00:05:19.50-00:05:24.25,00:05:24.25-00:05:27.00"
P01_02,What did he do with the drawer,drawer,open,00:07:43.80-00:07:45.80
P01_02,What did he do with the eating board,board:eating,"take,put-down","00:07:35.38-00:07:42.13,00:07:45.83-00:07:47.33"
P01_02,What did he do with the fork,fork,"take,wash,take,rinse,put-down","00:00:34.64-00:00:35.70,00:00:35.49-00:00:41.24,00:04:55.47-00:04:56.22,00:04:56.32-00:04:59.60,00:04:59.67-00:05:00.45"
P01_02,What did he do with the fridge,fridge,"open,close","00:07:55.91-00:07:56.68,00:08:02.12-00:08:03.47"
P01_02,What did he do with the grater,grater,"take,wash,wash,put-down,rinse,rinse,put-down","00:02:33.75-00:02:34.79,00:02:34.71-00:02:37.06,00:02:35.68-00:02:43.60,00:02:44.84-00:02:46.74,00:03:01.48-00:03:08.71,00:03:08.81-00:03:19.08,00:03:19.58-00:03:20.50"
P01_02,What did he do with the hand,hand,"rinse,dry","00:02:55.36-00:02:56.45,00:07:26.90-00:07:30.90"
P01_02,What did he do with the knife,knife,"take,wash,put-down,take,rinse,put-down","00:00:41.75-00:00:42.63,00:00:42.69-00:00:49.44,00:00:49.51-00:00:50.02,00:04:50.08-00:04:51.44,00:04:51.32-00:04:55.41,00:04:55.49-00:04:56.98"
P01_02,What did he do with the leftover,leftover,"throw,throw","00:00:10.13-00:00:18.13,00:06:18.99-00:06:19.74"
P01_02,What did he do with the lid,lid,"take,close","00:07:48.13-00:07:49.43,00:07:48.46-00:07:50.99"
P01_02,What did he do with the liquid,liquid,"take-up,pour-up","00:00:28.71-00:00:30.18,00:00:30.20-00:00:32.45"
P01_02,What did he do with the pan,pan,"empty,wash,wash,wash,put-down,empty,empty,rinse,wash,wash,rinse,wash,rinse,rinse,put-down","00:01:53.35-00:01:55.98,00:01:56.69-00:02:03.94,00:02:05.13-00:02:11.38,00:02:11.48-00:02:16.33,00:02:16.33-00:02:17.93,00:04:09.25-00:04:13.40,00:04:12.43-00:04:13.91,00:04:13.77-00:04:21.44,00:04:14.00-00:04:22.99,00:04:17.96-00:04:24.21,00:04:22.51-00:04:30.91,00:04:30.59-00:04:38.50,00:04:38.90-00:04:45.87,00:04:39.21-00:04:48.69,00:04:48.79-00:04:50.98"
P01_02,What did he do with the plate,plate,"take,put-down,take,wash,wash,put-down,take,rinse,rinse,put-down","00:00:05.07-00:00:06.84,00:00:21.01-00:00:22.56,00:00:50.32-00:00:51.14,00:00:50.89-00:01:00.52,00:01:00.45-00:01:03.42,00:01:03.16-00:01:04.13,00:05:00.52-00:05:01.27,00:05:01.47-00:05:05.47,00:05:05.57-00:05:08.25,00:05:09.10-00:05:11.17"
P01_02,What did he do with the rag,rag,"take,rinse,squeeze,squeeze,rinse,squeeze,squeeze,put-down","00:05:33.31-00:05:34.06,00:05:42.85-00:05:47.10,00:05:47.20-00:05:49.20,00:05:52.40-00:05:54.90,00:06:59.32-00:07:04.40,00:07:05.93-00:07:07.60,00:07:21.11-00:07:24.94,00:07:24.79-00:07:25.95"
P01_02,What did he do with the saucepan,saucepan,"take,wash,wash,wash,put-down,take,rinse,rinse,put-down","00:01:29.79-00:01:31.38,00:01:31.48-00:01:35.73,00:01:35.71-00:01:41.20,00:01:41.30-00:01:48.40,00:01:49.17-00:01:50.91,00:03:50.37-00:03:51.17,00:03:51.27-00:03:58.94,00:03:59.04-00:04:06.20,00:04:05.66-00:04:08.95"
P01_02,What did he do with the sink,sink,"wipe,wipe,wipe,wipe,wipe","00:05:48.80-00:05:52.30,00:05:49.04-00:05:59.01,00:06:53.49-00:06:57.91,00:07:07.73-00:07:10.71,00:07:10.47-00:07:20.76"
P01_02,What did he do with the spatula,spatula,"take,rinse,wash,wash,put-down,take,put-down","00:01:04.23-00:01:04.86,00:01:07.38-00:01:09.37,00:01:09.32-00:01:17.33,00:01:16.18-00:01:21.23,00:01:20.12-00:01:22.00,00:03:38.35-00:03:39.61,00:03:46.66-00:03:48.11"
P01_02,What did he do with the sponge,sponge,"take,squeeze,rinse,squeeze,put-down,take,put-down,take,squeeze,squeeze,squeeze","00:00:24.02-00:00:25.25,00:00:24.53-00:00:25.87,00:00:26.75-00:00:29.25,00:00:32.48-00:00:35.54,00:02:43.39-00:02:43.96,00:02:50.83-00:02:51.46,00:02:52.98-00:02:53.71,00:05:25.07-00:05:27.20,00:05:26.70-00:05:27.70,00:05:27.80-00:05:33.75,00:05:34.16-00:05:42.76"
P01_02,What did he do with the spoon,spoon,"take,wash,rinse","00:02:48.31-00:02:49.34,00:02:51.54-00:02:53.54,00:02:56.55-00:02:59.73"
P01_02,What did he do with the tap,tap,"open,open,open,open,close","00:00:26.26-00:00:27.30,00:01:06.61-00:01:07.63,00:02:53.74-00:02:55.49,00:06:57.65-00:06:59.53,00:07:04.49-00:07:05.83"
P01_02,What did he do with the top,top,adjust,00:04:16.74-00:04:18.28
P01_02,What did he do with the water,water,"pour,drink","00:08:09.00-00:08:13.10,00:08:13.80-00:08:19.25"
P01_03,What did he do with the bag,bag,"extract,unfold,put-down","00:01:37.61-00:01:38.71,00:01:40.11-00:01:42.44,00:01:53.34-00:01:54.65"
P01_03,What did he do with the bottle,bottle,move,00:00:30.48-00:00:33.39
P01_03,What did he do with the cereal,cereal,"take,put-down,pour,pour","00:01:25.24-00:01:27.39,00:01:32.35-00:01:35.01,00:01:43.84-00:01:48.85,00:01:47.66-00:01:52.70"
P01_03,What did he do with the cereal bag,bag:cereal,open,00:01:35.01-00:01:37.28
P01_03,What did he do with the container,container,"take,put-back,take,put-down","00:00:14.86-00:00:15.67,00:00:16.87-00:00:17.98,00:00:18.54-00:00:19.25,00:00:24.77-00:00:25.93"
P01_03,What did he do with the cup,cup,"take,put-down","00:00:48.03-00:00:49.25,00:00:50.75-00:00:51.60"
P01_03,What did he do with the cupboard,cupboard,"open,open,close","00:00:45.67-00:00:47.70,00:01:23.34-00:01:24.22,00:01:27.74-00:01:29.45"
P01_03,What did he do with the door,door,"open,close","00:00:00.27-00:00:02.11,00:00:03.25-00:00:05.88"
P01_03,What did he do with the drawer,drawer,"open,close","00:01:16.30-00:01:17.05,00:01:19.45-00:01:20.45"
P01_03,What did he do with the fridge,fridge,"open,close,open,close","00:00:11.61-00:00:13.12,00:00:19.68-00:00:22.53,00:01:09.59-00:01:11.17,00:01:12.14-00:01:13.46"
P01_03,What did he do with the glass,glass,move,00:00:32.98-00:00:34.46
P01_03,What did he do with the light,light,"switch-on,adjust","00:00:04.88-00:00:06.04,00:00:06.57-00:00:08.42"
P01_03,What did he do with the soy milk,milk:soy,"take,put-down,take,shake,open,pour,close,put-down","00:00:13.57-00:00:14.56,00:00:24.93-00:00:25.87,00:00:51.70-00:00:52.95,00:00:53.06-00:00:55.72,00:00:55.68-00:00:57.63,00:00:57.87-00:01:04.78,00:01:04.87-00:01:06.48,00:01:11.27-00:01:12.11"
P01_03,What did he do with the spoon,spoon,"take,put-down","00:01:18.34-00:01:19.35,00:01:21.84-00:01:22.60"
P01_03,What did he do with the table cloth,cloth:table,take,00:00:27.36-00:00:28.98
P01_03,What did he do with the tablecloth,tablecloth,"unfold,pull-down","00:00:35.74-00:00:39.04,00:00:38.09-00:00:42.42"
P01_04,What did he do with the bottle,bottle,"take,open,put-down","00:01:19.79-00:01:22.04,00:01:22.14-00:01:25.14,00:01:37.91-00:01:40.35"
P01_04,What did he do with the cereal bag,bag:cereal,"take,fold,put","00:00:06.15-00:00:06.77,00:00:07.26-00:00:10.26,00:00:10.36-00:00:14.11"
P01_04,What did he do with the cereal box,box:cereal,"close,put-down","00:00:14.21-00:00:17.21,00:00:19.68-00:00:22.71"
P01_04,What did he do with the container,container,take,00:01:40.49-00:01:41.99
P01_04,What did he do with the cup,cup,"take,put-down,wash,rinse,pull-down","00:00:00.11-00:00:03.04,00:00:02.87-00:00:05.10,00:00:46.91-00:00:52.41,00:00:57.32-00:01:02.67,00:01:03.51-00:01:07.21"
P01_04,What did he do with the cupboard,cupboard,"open,close","00:00:18.91-00:00:20.16,00:00:22.78-00:00:24.28"
P01_04,What did he do with the glass,glass,"take,put-down","00:01:25.37-00:01:26.12,00:01:38.95-00:01:40.61"
P01_04,What did he do with the hand,hand,"rinse,dry","00:01:09.29-00:01:11.79,00:01:14.35-00:01:19.44"
P01_04,What did he do with the liquid,liquid,"take-up,pour-up","00:00:41.36-00:00:42.13,00:00:42.17-00:00:44.47"
P01_04,What did he do with the sink,sink,rinse,00:01:08.65-00:01:11.30
P01_04,What did he do with the spoon,spoon,rinse,00:00:52.51-00:00:56.16
P01_04,What did he do with the tablecloth,tablecloth,"take,fold,pull-down","00:00:25.74-00:00:30.67,00:00:30.75-00:00:35.04,00:00:37.33-00:00:38.81"
P01_04,What did he do with the tap,tap,"open,turn,close","00:00:45.27-00:00:46.81,00:01:02.30-00:01:02.99,00:01:11.40-00:01:12.08"
P01_04,What did he do with the water,water,"pour,drink","00:01:26.34-00:01:30.61,00:01:31.07-00:01:38.60"
P01_05,What did he do with the bag,bag,"fold,put-down","00:08:35.89-00:08:37.80,00:08:38.89-00:08:39.95"
P01_05,What did he do with the bin,bin,"open,open,close,close,open,close","00:05:10.13-00:05:11.01,00:05:25.58-00:05:26.48,00:05:26.87-00:05:28.04,00:07:41.42-00:07:42.42,00:10:49.63-00:10:50.68,00:10:50.52-00:10:51.77"
P01_05,What did he do with the blade,blade,"dry,put","00:08:57.34-00:08:59.43,00:08:58.50-00:09:01.00"
P01_05,What did he do with the bottle,bottle,"move,take,open,put","00:07:55.67-00:07:56.84,00:09:22.19-00:09:23.36,00:09:24.60-00:09:27.04,00:09:44.21-00:09:46.50"
P01_05,What did he do with the bowl,bowl,"take,put","00:01:04.53-00:01:08.44,00:01:10.29-00:01:13.82"
P01_05,What did he do with the box,box,throw,00:11:56.84-00:11:59.09
P01_05,What did he do with the bread,bread,"take,put-down,slice,slice,put","00:08:05.43-00:08:06.68,00:08:10.03-00:08:10.78,00:08:12.19-00:08:17.69,00:08:18.23-00:08:23.48,00:08:32.02-00:08:34.55"
P01_05,What did he do with the bread bag,bag:bread,take,00:08:30.46-00:08:31.35
P01_05,What did he do with the candle,candle,"take,turn-on,put-down","00:15:56.92-00:15:58.58,00:15:57.86-00:16:07.22,00:16:08.23-00:16:10.61"
P01_05,What did he do with the cloth,cloth,"take,put-down,take,hang,take,take","00:01:33.23-00:01:34.45,00:02:00.25-00:02:01.50,00:03:12.78-00:03:14.62,00:03:15.11-00:03:16.21,00:04:56.85-00:04:58.10,00:05:13.20-00:05:14.41"
P01_05,What did he do with the clothes,clothes,"hang,take,hang","00:12:17.45-00:12:18.26,00:12:19.79-00:12:24.42,00:12:29.04-00:12:30.85"
P01_05,What did he do with the colander,colander,"take,take,put-down","00:01:17.35-00:01:19.58,00:19:30.01-00:19:31.86,00:19:48.98-00:19:50.20"
P01_05,What did he do with the container,container,move,00:00:08.03-00:00:08.70
P01_05,What did he do with the cup,cup,put,00:00:30.75-00:00:33.50
P01_05,What did he do with the cupboard,cupboard,"open,open,close,close,close,open,close,open,close,open,close","00:00:30.03-00:00:31.10,00:00:48.45-00:00:49.20,00:02:22.09-00:02:24.41,00:02:22.18-00:02:23.82,00:02:24.51-00:02:26.32,00:02:26.57-00:02:28.43,00:02:36.88-00:02:38.30,00:05:37.82-00:05:40.42,00:05:43.84-00:05:46.50,00:07:48.96-00:07:49.96,00:07:52.37-00:07:54.25"
P01_05,What did he do with the cutlery,cutlery,"take,put-down,put-down","00:01:55.02-00:01:58.09,00:02:02.94-00:02:06.36,00:02:08.94-00:02:20.36"
P01_05,What did he do with the cutting board,board:cutting,"take,put-down,move,move,take,put-down,take,put-down,put-down","00:00:25.50-00:00:27.88,00:00:27.53-00:00:29.29,00:02:41.56-00:02:42.92,00:04:59.37-00:05:00.85,00:06:54.86-00:06:57.20,00:07:05.69-00:07:07.79,00:07:50.59-00:07:52.53,00:08:00.62-00:08:01.57,00:08:43.08-00:08:44.13"
