video_id,question_about_nouns,verb,answer,time,frames
P01_01,What all does he put,put,"celery,glass,cup,container,container,container,plate,container,rice,bottle,cutlery,container,curry powder","00:06:00.76-00:06:03.07,00:07:54.18-00:07:57.23,00:08:02.13-00:08:03.00,00:08:08.38-00:08:09.12,00:08:13.22-00:08:14.37,00:08:19.64-00:08:20.60,00:08:24.66-00:08:27.92,00:09:07.40-00:09:09.01,00:15:55.05-00:15:56.87,00:16:26.43-00:16:28.16,00:16:37.17-00:16:47.93,00:18:03.68-00:18:04.55,00:25:54.44-00:25:55.19","21645-21784,28450-28633,28927-28980,29302-29347,29593-29662,29978-30036,30279-30475,32844-32940,57303-57412,59185-59289,59830-60475,65020-65073,93266-93311"
P01_01,What all does he put-down,put-down,"vegetable,cutting board,knife,knife,vegetable,pan,salt,spatula,celery,cutting board,spatula,onion,knife,drawer,fork,grater,grater,saucepan,kettle,oil,cutting board,salt,spoon,salt,spatula,cupboard,rice,spatula,tofu container,spatula,spatula,glass,glass,spatula,spatula,spatula,spatula,spoon,bottle,glass,spatula,spatula,spoon,saucepan,drainer,spatula,spatula,curry powder,spatula,container,spatula,plate,spatula,pan,plate","00:00:36.68-00:00:37.78,00:00:46.45-00:00:47.81,00:00:54.73-00:00:55.74,00:00:57.45-00:00:58.70,00:01:25.49-00:01:26.49,00:01:40.74-00:01:42.26,00:04:45.15-00:04:46.79,00:04:54.35-00:04:55.60,00:05:18.25-00:05:20.00,00:05:46.01-00:05:47.67,00:06:17.83-00:06:19.31,00:06:24.86-00:06:25.58,00:07:04.69-00:07:06.42,00:08:32.66-00:08:34.43,00:08:39.34-00:08:40.25,00:10:39.51-00:10:40.27,00:10:49.68-00:10:50.77,00:11:07.31-00:11:14.16,00:11:39.07-00:11:41.91,00:11:56.49-00:11:57.82,00:12:02.45-00:12:03.55,00:12:32.75-00:12:34.00,00:12:46.10-00:12:46.78,00:12:47.50-00:12:49.40,00:13:39.54-00:13:40.87,00:13:44.28-00:13:45.77,00:13:59.14-00:14:00.44,00:14:24.26-00:14:25.31,00:14:49.53-00:14:50.92,00:15:04.17-00:15:05.18,00:17:13.60-00:17:14.56,00:17:20.23-00:17:28.68,00:17:21.52-00:17:26.04,00:17:46.54-00:17:47.60,00:18:51.93-00:18:53.76,00:19:38.58-00:19:40.53,00:20:15.19-00:20:25.84,00:20:36.14-00:20:38.93,00:21:12.55-00:21:13.96,00:21:16.12-00:21:17.61,00:21:35.96-00:21:36.98,00:21:51.47-00:21:54.03,00:22:46.01-00:22:49.61,00:23:44.20-00:23:45.98,00:23:46.14-00:23:47.80,00:23:48.37-00:23:49.19,00:23:56.35-00:23:57.03,00:24:02.96-00:24:04.06,00:25:48.75-00:25:49.85,00:26:13.89-00:26:14.66,00:26:14.19-00:26:15.30,00:26:17.78-00:26:19.15,00:26:58.16-00:27:00.51,00:27:00.99-00:27:03.13,00:27:20.40-00:27:21.69","2200-2266,2787-2868,3283-3344,3447-3522,5129-5189,6044-6135,17109-17207,17661-17736,19095-19200,20760-20860,22669-22758,23091-23134,25481-25585,30759-30865,31160-31215,38370-38416,38980-39046,40038-40449,41944-42114,42989-43069,43347-43413,45165-45240,45966-46006,46050-46164,49172-49252,49456-49546,50348-50426,51855-51918,53371-53455,54250-54310,62015-62073,62413-62920,62491-62762,63992-64055,67915-68025,70714-70831,72911-73550,74168-74335,76353-76437,76567-76656,77757-77818,78688-78841,81960-82176,85452-85558,85568-85668,85702-85751,86181-86221,86577-86643,92925-92991,94433-94479,94451-94518,94666-94749,97089-97230,97259-97387,98424-98501"
P01_01,What all does he put-on,put-on,drainer,00:23:33.00-00:23:34.00,84780-84840
P01_01,What all does he scoop,scoop,"rice,rice,rice,rice,rice,rice,rice,rice","00:20:27.73-00:20:30.68,00:22:35.25-00:22:39.79,00:23:34.71-00:23:44.23,00:26:02.53-00:26:04.28,00:26:06.48-00:26:08.48,00:26:33.88-00:26:39.85,00:26:40.67-00:26:46.04,00:26:46.24-00:26:58.73","73663-73840,81315-81587,84882-85453,93751-93856,93988-94108,95632-95991,96040-96362,96374-97123"
P01_01,What all does he see,see,boiling water,00:11:26.55-00:11:31.55,41193-41493
P01_01,What all does he stir,stir,"courgette,courgette,spatula,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,water,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,vegetable,rice,vegetable,rice,vegetable,vegetable,vegetable,rice,vegetable,vegetable,vegetable,rice,vegetable,rice,rice,rice,rice,rice,rice,rice","00:04:32.08-00:04:37.85,00:04:47.86-00:04:54.25,00:06:08.37-00:06:18.03,00:07:30.55-00:07:38.30,00:07:35.57-00:07:44.74,00:08:41.92-00:08:48.56,00:09:14.66-00:09:18.50,00:10:55.73-00:11:00.95,00:12:03.70-00:12:11.48,00:12:10.37-00:12:30.08,00:12:42.73-00:12:44.37,00:12:50.26-00:12:51.32,00:12:54.72-00:13:28.26,00:12:55.67-00:13:01.63,00:13:09.33-00:13:39.66,00:14:01.74-00:14:07.27,00:14:07.37-00:14:24.11,00:14:50.88-00:15:04.28,00:15:21.66-00:15:28.69,00:15:59.28-00:16:09.59,00:16:50.90-00:16:58.04,00:17:00.56-00:17:05.06,00:17:05.41-00:17:12.73,00:17:31.88-00:17:47.42,00:18:07.48-00:18:12.33,00:18:14.25-00:18:23.39,00:18:19.02-00:18:51.26,00:19:23.09-00:19:31.98,00:19:32.15-00:19:38.40,00:20:15.33-00:20:25.72,00:21:21.73-00:21:32.70,00:21:29.56-00:21:36.27,00:21:46.28-00:21:52.18,00:23:50.72-00:23:56.34,00:24:04.87-00:24:17.00,00:24:15.34-00:24:22.60,00:24:22.70-00:24:29.94,00:24:30.04-00:25:05.28,00:25:08.06-00:25:18.08,00:25:18.18-00:25:26.20,00:25:24.00-00:25:48.50","16324-16671,17271-17655,22102-22681,27033-27498,27334-27884,31315-31713,33279-33510,39343-39657,43422-43888,43822-45004,45763-45862,46215-46279,46483-48495,46540-46897,47359-49179,50504-50836,50842-51846,53452-54256,55299-55721,57556-58175,60654-61082,61233-61503,61524-61963,63112-64045,65248-65539,65655-66203,65941-67875,69785-70318,70329-70704,72919-73543,76903-77562,77373-77776,78376-78730,85843-86180,86692-87420,87320-87756,87762-88196,88202-90316,90483-91084,91090-91572,91440-92910"
P01_01,What all does he take,take,"celery,container,tofu,carrot,cutting board,knife,knife,grater,pan,courgette,spatula,salt,celery,celery,spatula,onion,onion,spatula,knife,kettle,spatula,glass,glass,cup,container,plate,drawer,fork,spatula,container,spatula,grater,grater,carrot,grater,spatula,saucepan,kettle,olive oil,spatula,cutting board,salt,spoon,spatula,cupboard,rice,spatula,tofu,knife,tofu container,spatula,rice,spatula,bottle,cutlery,spatula,spoon,glass,spatula,container,container,spatula,spatula,spoon,drainer,glass,spatula,spatula,spoon,saucepan,spatula,curry powder,spatula,container,spatula,plate,spatula,plate","00:00:15.25-00:00:16.40,00:00:16.50-00:00:18.06,00:00:18.19-00:00:21.14,00:00:24.48-00:00:27.94,00:00:43.20-00:00:46.64,00:00:53.50-00:00:56.00,00:00:53.55-00:00:54.36,00:01:32.53-00:01:34.09,00:01:35.28-00:01:39.56,00:01:44.10-00:01:45.22,00:04:30.43-00:04:32.16,00:04:39.60-00:04:41.35,00:04:55.70-00:04:59.70,00:05:47.33-00:05:53.79,00:06:07.34-00:06:08.34,00:06:21.53-00:06:24.85,00:06:24.01-00:06:24.76,00:06:30.52-00:06:31.28,00:06:30.95-00:06:32.13,00:07:06.95-00:07:09.35,00:07:30.08-00:07:30.80,00:07:47.50-00:07:48.55,00:07:49.14-00:07:50.32,00:07:59.75-00:08:00.88,00:08:05.22-00:08:07.21,00:08:22.35-00:08:23.31,00:08:29.29-00:08:31.54,00:08:37.88-00:08:39.13,00:08:41.19-00:08:42.08,00:09:02.04-00:09:02.98,00:09:13.41-00:09:14.49,00:09:21.12-00:09:22.32,00:09:21.12-00:09:22.52,00:09:22.08-00:09:22.81,00:10:44.49-00:10:45.33,00:10:54.75-00:10:55.75,00:11:03.55-00:11:05.30,00:11:19.51-00:11:22.29,00:11:43.86-00:11:45.41,00:11:57.92-00:11:58.80,00:11:59.03-00:12:00.04,00:12:30.39-00:12:31.52,00:12:34.95-00:12:36.70,00:12:49.54-00:12:50.27,00:13:42.41-00:13:45.17,00:13:46.91-00:13:48.61,00:14:00.71-00:14:01.64,00:14:26.00-00:14:27.27,00:14:29.59-00:14:31.03,00:15:05.28-00:15:08.19,00:15:21.64-00:15:22.39,00:15:28.62-00:15:29.95,00:15:59.49-00:16:00.51,00:16:10.43-00:16:11.15,00:16:29.60-00:16:33.60,00:16:49.94-00:16:50.89,00:17:15.04-00:17:17.63,00:17:16.96-00:17:21.42,00:17:31.67-00:17:32.77,00:17:54.15-00:17:56.28,00:17:57.10-00:17:58.82,00:18:06.44-00:18:07.95,00:20:14.16-00:20:15.40,00:20:25.60-00:20:26.60,00:20:51.05-00:20:52.99,00:21:03.99-00:21:05.35,00:21:20.72-00:21:21.54,00:21:44.50-00:21:45.45,00:22:33.66-00:22:35.47,00:23:12.79-00:23:15.13,00:23:49.49-00:23:50.24,00:23:57.14-00:23:57.82,00:24:03.85-00:24:04.93,00:25:55.54-00:25:56.79,00:25:56.82-00:25:58.67,00:26:15.37-00:26:17.29,00:26:19.22-00:26:20.16,00:27:17.63-00:27:19.73","915-983,990-1083,1091-1268,1468-1676,2592-2798,3210-3360,3213-3261,5551-5645,5716-5973,6246-6313,16225-16329,16776-16881,17742-17982,20839-21227,22040-22100,22891-23091,23040-23085,23431-23476,23457-23527,25617-25761,27004-27048,28050-28113,28148-28219,28785-28852,29113-29232,30141-30198,30557-30692,31072-31147,31271-31324,32522-32578,33204-33269,33667-33739,33667-33751,33724-33768,38669-38719,39285-39345,39813-39918,40770-40937,42231-42324,43075-43128,43141-43202,45023-45091,45297-45402,46172-46216,49344-49510,49614-49716,50442-50498,51960-52036,52175-52261,54316-54491,55298-55343,55717-55797,57569-57630,58225-58269,59376-59616,60596-60653,62102-62257,62217-62485,63100-63166,64449-64576,64625-64729,65186-65277,72849-72924,73536-73596,75063-75179,75839-75921,76843-76892,78270-78327,81219-81328,83567-83707,85769-85814,86228-86269,86631-86695,93332-93407,93409-93520,94522-94637,94753-94809,98257-98383"
P01_01,What all does he taste,taste,"rice,rice","00:20:31.57-00:20:36.04,00:22:39.78-00:22:45.40","73894-74162,81586-81924"
P01_01,What all does he throw,throw,"courgette,celery,carrot,carrot,tofu container,tofu container,tupperware container","00:04:21.69-00:04:24.65,00:05:54.09-00:05:58.44,00:10:41.81-00:10:42.83,00:10:52.77-00:10:53.83,00:15:09.33-00:15:11.48,00:15:11.43-00:15:13.59,00:15:17.61-00:15:18.43","15701-15878,21245-21506,38508-38569,39166-39229,54559-54688,54685-54815,55056-55105"
P01_01,What all does he turn,turn,"kettle,hob","00:07:25.11-00:07:27.13,00:11:15.00-00:11:16.99","26706-26827,40500-40619"
P01_01,What all does he turn-off,turn-off,"hob,hob","00:22:49.72-00:22:53.80,00:25:04.53-00:25:07.43","82183-82428,90271-90445"
P01_01,What all does he turn-on,turn-on,"light,hob","00:00:04.37-00:00:06.17,00:02:02.13-00:02:06.98","262-370,7327-7618"
P01_01,What all does he wash,wash,"courgette,courgette,carrot,carrot,celery,celery,pan,saucepan,drainer","00:01:01.86-00:01:05.23,00:01:05.20-00:01:13.13,00:01:14.29-00:01:18.89,00:01:18.99-00:01:22.79,00:05:01.25-00:05:15.50,00:05:03.56-00:05:15.49,00:27:07.07-00:27:09.70,00:27:10.12-00:27:13.57,00:27:13.69-00:27:15.21","3711-3913,3912-4387,4457-4733,4739-4967,18075-18930,18213-18929,97624-97782,97807-98014,98021-98112"
P01_02,What all does he adjust,adjust,top,00:04:16.74-00:04:18.28,15404-15496
P01_02,What all does he close,close,"bin,bin,tap,lid,fridge,bottle","00:00:18.38-00:00:19.13,00:06:19.80-00:06:21.96,00:07:04.49-00:07:05.83,00:07:48.46-00:07:50.99,00:08:02.12-00:08:03.47,00:08:14.65-00:08:17.15","1102-1147,22788-22917,25469-25549,28107-28259,28927-29008,29679-29829"
P01_02,What all does he drink,drink,water,00:08:13.80-00:08:19.25,29628-29955
P01_02,What all does he dry,dry,hand,00:07:26.90-00:07:30.90,26814-27054
P01_02,What all does he empty,empty,"pan,pan,pan","00:01:53.35-00:01:55.98,00:04:09.25-00:04:13.40,00:04:12.43-00:04:13.91","6801-6958,14955-15204,15145-15234"
P01_02,What all does he move,move,chair,00:07:33.77-00:07:35.28,27226-27316
P01_02,What all does he open,open,"bin,tap,tap,tap,bin,tap,drawer,fridge","00:00:08.61-00:00:09.28,00:00:26.26-00:00:27.30,00:01:06.61-00:01:07.63,00:02:53.74-00:02:55.49,00:06:17.71-00:06:18.97,00:06:57.65-00:06:59.53,00:07:43.80-00:07:45.80,00:07:55.91-00:07:56.68","516-556,1575-1638,3996-4057,10424-10529,22662-22738,25059-25171,27828-27948,28554-28600"
P01_02,What all does he pour,pour,water,00:08:09.00-00:08:13.10,29340-29586
P01_02,What all does he pour-up,pour-up,liquid,00:00:30.20-00:00:32.45,1812-1947
P01_02,What all does he put,put,container,00:07:57.01-00:08:01.11,28620-28866
P01_02,What all does he put-down,put-down,"plate,knife,plate,spatula,colander,saucepan,colander,pan,cutting board,sponge,grater,sponge,grater,colander,spatula,saucepan,pan,knife,fork,plate,cutting board,rag,cloth,eating board,bottle","00:00:21.01-00:00:22.56,00:00:49.51-00:00:50.02,00:01:03.16-00:01:04.13,00:01:20.12-00:01:22.00,00:01:28.08-00:01:29.72,00:01:49.17-00:01:50.91,00:01:50.75-00:01:52.25,00:02:16.33-00:02:17.93,00:02:32.32-00:02:33.57,00:02:43.39-00:02:43.96,00:02:44.84-00:02:46.74,00:02:52.98-00:02:53.71,00:03:19.58-00:03:20.50,00:03:37.48-00:03:38.43,00:03:46.66-00:03:48.11,00:04:05.66-00:04:08.95,00:04:48.79-00:04:50.98,00:04:55.49-00:04:56.98,00:04:59.67-00:05:00.45,00:05:09.10-00:05:11.17,00:05:24.25-00:05:27.00,00:07:24.79-00:07:25.95,00:07:31.18-00:07:33.43,00:07:45.83-00:07:47.33,00:08:13.20-00:08:14.20","1260-1353,2970-3001,3789-3847,4807-4920,5284-5383,6550-6654,6645-6735,8179-8275,9139-9214,9803-9837,9890-10004,10378-10422,11974-12030,13048-13105,13599-13686,14739-14937,17327-17458,17729-17818,17980-18027,18546-18670,19455-19620,26687-26757,27070-27205,27949-28039,29592-29652"
P01_02,What all does he rinse,rinse,"sponge,spatula,hand,spoon,grater,grater,colander,colander,saucepan,saucepan,pan,pan,pan,pan,knife,fork,plate,plate,cutting board,cutting board,rag,rag","00:00:26.75-00:00:29.25,00:01:07.38-00:01:09.37,00:02:55.36-00:02:56.45,00:02:56.55-00:02:59.73,00:03:01.48-00:03:08.71,00:03:08.81-00:03:19.08,00:03:22.42-00:03:30.66,00:03:28.16-00:03:36.92,00:03:51.27-00:03:58.94,00:03:59.04-00:04:06.20,00:04:13.77-00:04:21.44,00:04:22.51-00:04:30.91,00:04:38.90-00:04:45.87,00:04:39.21-00:04:48.69,00:04:51.32-00:04:55.41,00:04:56.32-00:04:59.60,00:05:01.47-00:05:05.47,00:05:05.57-00:05:08.25,00:05:10.05-00:05:19.15,00:05:19.50-00:05:24.25,00:05:42.85-00:05:47.10,00:06:59.32-00:07:04.40","1605-1755,4042-4162,10521-10587,10593-10783,10888-11322,11328-11944,12145-12639,12489-13015,13876-14336,14342-14772,15226-15686,15750-16254,16734-17152,16752-17321,17479-17724,17779-17976,18088-18328,18334-18495,18603-19149,19170-19455,20571-20826,25159-25464"
P01_02,What all does he squeeze,squeeze,"sponge,sponge,sponge,sponge,sponge,rag,rag,rag,rag","00:00:24.53-00:00:25.87,00:00:32.48-00:00:35.54,00:05:26.70-00:05:27.70,00:05:27.80-00:05:33.75,00:05:34.16-00:05:42.76,00:05:47.20-00:05:49.20,00:05:52.40-00:05:54.90,00:07:05.93-00:07:07.60,00:07:21.11-00:07:24.94","1471-1552,1948-2132,19602-19662,19668-20025,20049-20565,20832-20952,21144-21294,25555-25656,26466-26696"
P01_02,What all does he take,take,"plate,sponge,fork,knife,plate,spatula,colander,saucepan,colander,cutting board,grater,spoon,sponge,colander,spatula,saucepan,knife,fork,plate,cutting board,sponge,rag,cloth,eating board,lid,container,bottle","00:00:05.07-00:00:06.84,00:00:24.02-00:00:25.25,00:00:34.64-00:00:35.70,00:00:41.75-00:00:42.63,00:00:50.32-00:00:51.14,00:01:04.23-00:01:04.86,00:01:22.10-00:01:22.92,00:01:29.79-00:01:31.38,00:01:49.17-00:01:51.29,00:02:18.53-00:02:20.53,00:02:33.75-00:02:34.79,00:02:48.31-00:02:49.34,00:02:50.83-00:02:51.46,00:03:20.43-00:03:22.26,00:03:38.35-00:03:39.61,00:03:50.37-00:03:51.17,00:04:50.08-00:04:51.44,00:04:55.47-00:04:56.22,00:05:00.52-00:05:01.27,00:05:09.27-00:05:10.02,00:05:25.07-00:05:27.20,00:05:33.31-00:05:34.06,00:07:25.95-00:07:27.33,00:07:35.38-00:07:42.13,00:07:48.13-00:07:49.43,00:07:53.11-00:07:55.52,00:08:07.35-00:08:08.64","304-410,1441-1515,2078-2142,2505-2557,3019-3068,3853-3891,4926-4975,5387-5482,6550-6677,8311-8431,9225-9287,10098-10160,10249-10287,12025-12135,13101-13176,13822-13870,17404-17486,17728-17773,18031-18076,18556-18601,19504-19632,19998-20043,26757-26839,27322-27727,28087-28165,28386-28531,29241-29318"
P01_02,What all does he take-up,take-up,liquid,00:00:28.71-00:00:30.18,1722-1810
P01_02,What all does he throw,throw,"leftover,leftover","00:00:10.13-00:00:18.13,00:06:18.99-00:06:19.74","607-1087,22739-22784"
P01_02,What all does he wash,wash,"fork,knife,plate,plate,spatula,spatula,colander,saucepan,saucepan,saucepan,pan,pan,pan,cutting board,cutting board,grater,grater,spoon,pan,pan,pan","00:00:35.49-00:00:41.24,00:00:42.69-00:00:49.44,00:00:50.89-00:01:00.52,00:01:00.45-00:01:03.42,00:01:09.32-00:01:17.33,00:01:16.18-00:01:21.23,00:01:22.91-00:01:28.34,00:01:31.48-00:01:35.73,00:01:35.71-00:01:41.20,00:01:41.30-00:01:48.40,00:01:56.69-00:02:03.94,00:02:05.13-00:02:11.38,00:02:11.48-00:02:16.33,00:02:20.87-00:02:26.62,00:02:27.73-00:02:32.22,00:02:34.71-00:02:37.06,00:02:35.68-00:02:43.60,00:02:51.54-00:02:53.54,00:04:14.00-00:04:22.99,00:04:17.96-00:04:24.21,00:04:30.59-00:04:38.50","2129-2474,2561-2966,3053-3631,3627-3805,4159-4639,4570-4873,4974-5300,5488-5743,5742-6072,6078-6504,7001-7436,7507-7882,7888-8179,8452-8797,8863-9133,9282-9423,9340-9816,10292-10412,15240-15779,15477-15852,16235-16710"
P01_02,What all does he wipe,wipe,"sink,sink,counter,counter,counter,cooker,cooker,cooker,cooker,counter,counter,sink,sink,sink","00:05:48.80-00:05:52.30,00:05:49.04-00:05:59.01,00:05:59.71-00:06:05.53,00:06:04.88-00:06:07.48,00:06:07.58-00:06:16.73,00:06:23.35-00:06:27.09,00:06:27.09-00:06:33.36,00:06:33.46-00:06:47.45,00:06:44.28-00:06:47.51,00:06:47.61-00:06:53.07,00:06:53.16-00:06:55.79,00:06:53.49-00:06:57.91,00:07:07.73-00:07:10.71,00:07:10.47-00:07:20.76","20928-21138,20942-21540,21582-21931,21892-22048,22054-22603,23001-23225,23225-23601,23607-24447,24256-24450,24456-24784,24789-24947,24809-25074,25663-25842,25828-26445"
P01_03,What all does he adjust,adjust,light,00:00:06.57-00:00:08.42,394-505
P01_03,What all does he close,close,"door,fridge,soy milk,fridge,drawer,cupboard","00:00:03.25-00:00:05.88,00:00:19.68-00:00:22.53,00:01:04.87-00:01:06.48,00:01:12.14-00:01:13.46,00:01:19.45-00:01:20.45,00:01:27.74-00:01:29.45","195-352,1180-1351,3892-3988,4328-4407,4767-4827,5264-5367"
P01_03,What all does he extract,extract,bag,00:01:37.61-00:01:38.71,5856-5922
P01_03,What all does he move,move,"bottle,glass","00:00:30.48-00:00:33.39,00:00:32.98-00:00:34.46","1828-2003,1978-2067"
P01_03,What all does he open,open,"door,fridge,cupboard,soy milk,fridge,drawer,cupboard,cereal bag","00:00:00.27-00:00:02.11,00:00:11.61-00:00:13.12,00:00:45.67-00:00:47.70,00:00:55.68-00:00:57.63,00:01:09.59-00:01:11.17,00:01:16.30-00:01:17.05,00:01:23.34-00:01:24.22,00:01:35.01-00:01:37.28","16-126,696-787,2740-2862,3340-3457,4175-4270,4578-4623,5000-5053,5700-5836"
P01_03,What all does he pour,pour,"soy milk,cereal,cereal","00:00:57.87-00:01:04.78,00:01:43.84-00:01:48.85,00:01:47.66-00:01:52.70","3472-3886,6230-6531,6459-6762"
P01_03,What all does he pull-down,pull-down,tablecloth,00:00:38.09-00:00:42.42,2285-2545
P01_03,What all does he put-back,put-back,container,00:00:16.87-00:00:17.98,1012-1078
P01_03,What all does he put-down,put-down,"container,soy milk,cup,soy milk,spoon,cereal,bag","00:00:24.77-00:00:25.93,00:00:24.93-00:00:25.87,00:00:50.75-00:00:51.60,00:01:11.27-00:01:12.11,00:01:21.84-00:01:22.60,00:01:32.35-00:01:35.01,00:01:53.34-00:01:54.65","1486-1555,1495-1552,3045-3096,4276-4326,4910-4956,5541-5700,6800-6879"
P01_03,What all does he shake,shake,soy milk,00:00:53.06-00:00:55.72,3183-3343
P01_03,What all does he switch-on,switch-on,light,00:00:04.88-00:00:06.04,292-362
